EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
232642,6344727,39,58,3,1e-06,0.0
232642,6348727,70,30,1,1e-06,4.99e-07
232642,6351727,29,15,1,1e-06,4.99e-07
232642,6352727,29,95,1,1e-06,0.0
232642,6357727,35,95,1,1e-06,0.0
232642,6359727,39,120,1,1e-06,4.99e-07
232642,6360727,49,112,2,1e-06,4.99e-07
232642,6363727,29,285,1,1e-06,4.99e-07
232642,6372727,35,255,1,1e-06,4.99e-07
233642,6238727,34,135,1,1e-06,4.99e-07
233642,6241727,39,88,1,1e-06,0.0
233642,6244727,34,110,2,1e-06,4.99e-07
233642,6245727,19,42,1,1e-06,4.99e-07
233642,6246727,25,96,1,1e-06,0.0
233642,6247727,23,93,1,1e-06,0.0
233642,6249727,23,93,4,1e-06,4.99e-07
233642,6251727,14,91,1,1e-06,0.0
233642,6257727,5,105,1,1e-06,0.0
233642,6258727,8,121,2,1e-06,0.0
233642,6260727,9,171,5,1e-06,0.0
233642,6279727,12,10,9,1e-06,0.0
233642,6281727,13,91,2,1e-06,4.99e-07
233642,6282727,9,82,1,1e-06,0.0
233642,6283727,9,59,2,1e-06,0.0
233642,6286727,8,33,1,1e-06,4.99e-07
233642,6287727,8,64,1,1e-06,0.0
233642,6300727,16,105,1,1e-06,0.0
233642,6301727,17,87,1,1e-06,0.0
233642,6324727,30,242,2,1e-06,4.99e-07
233642,6325727,20,199,1,1e-06,0.0
233642,6327727,17,214,9,1e-06,0.0
233642,6328727,31,252,1,1e-06,4.99e-07
233642,6331727,1,109,3,1e-06,4.99e-07
233642,6337727,29,48,1,1e-06,4.99e-07
233642,6338727,37,58,2,1e-06,0.0
233642,6339727,41,37,4,1e-06,0.0
233642,6340727,34,48,1,1e-06,4.99e-07
233642,6341727,43,66,1,1e-06,0.0
233642,6342727,51,67,6,1e-06,4.99e-07
233642,6343727,35,358,6,1e-06,4.99e-07
233642,6344727,45,69,7,1e-06,4.99e-07
233642,6351727,60,65,1,1e-06,4.99e-07
233642,6363727,29,271,2,1e-06,4.99e-07
234642,6241727,33,94,6,1e-06,4.99e-07
234642,6242727,10,83,7,1e-06,4.99e-07
234642,6249727,11,61,1,1e-06,0.0
234642,6252727,11,115,3,1e-06,4.99e-07
234642,6253727,10,117,3,1e-06,4.99e-07
234642,6260727,6,71,1,1e-06,0.0
234642,6261727,5,119,1,1e-06,0.0
234642,6263727,14,126,1,1e-06,4.99e-07
234642,6279727,7,23,1,1e-06,4.99e-07
234642,6297727,14,231,2,1e-06,4.99e-07
234642,6299727,11,199,1,1e-06,0.0
234642,6303727,25,192,1,1e-06,0.0
234642,6322727,27,259,1,1e-06,4.99e-07
234642,6325727,29,243,1,1e-06,4.99e-07
234642,6326727,23,97,1,1e-06,0.0
234642,6327727,23,173,1,1e-06,4.99e-07
234642,6329727,45,85,4,1e-06,4.99e-07
234642,6336727,41,67,2,1e-06,4.99e-07
234642,6337727,55,52,2,1e-06,0.0
234642,6339727,46,59,2,1e-06,0.0
234642,6340727,33,51,2,1e-06,0.0
234642,6341727,19,358,14,1e-06,4.99e-07
234642,6342727,35,50,15,1e-06,0.0
234642,6343727,53,80,2,1e-06,4.99e-07
234642,6344727,68,73,4,1e-06,4.99e-07
234642,6347727,54,90,1,1e-06,0.0
234642,6353727,39,65,1,1e-06,0.0
234642,6360727,60,265,1,1e-06,4.99e-07
234642,6361727,65,285,1,1e-06,4.99e-07
234642,6362727,60,265,1,1e-06,4.99e-07
234642,6453727,29,140,1,1e-06,4.99e-07
234642,6475727,19,5,1,1e-06,4.99e-07
235642,6245727,40,120,1,1e-06,4.99e-07
235642,6247727,11,56,3,1e-06,0.0
235642,6251727,19,92,1,1e-06,0.0
235642,6252727,21,149,3,1e-06,0.0
235642,6258727,10,100,1,1e-06,0.0
235642,6259727,5,135,7,1e-06,0.0
235642,6260727,5,145,2,1e-06,0.0
235642,6264727,28,98,1,1e-06,0.0
235642,6265727,10,162,3,1e-06,0.0
235642,6273727,7,58,3,1e-06,0.0
235642,6279727,8,66,4,1e-06,4.99e-07
235642,6283727,7,39,2,1e-06,0.0
235642,6303727,19,219,1,1e-06,0.0
235642,6315727,23,102,1,1e-06,0.0
235642,6318727,30,70,2,1e-06,4.99e-07
235642,6319727,23,212,7,1e-06,4.99e-07
235642,6320727,19,193,7,1e-06,4.99e-07
235642,6321727,10,207,3,1e-06,0.0
235642,6323727,33,71,5,1e-06,4.99e-07
235642,6326727,48,74,2,1e-06,4.99e-07
235642,6327727,46,61,1,1e-06,4.99e-07
235642,6328727,59,70,1,1e-06,0.0
235642,6329727,54,84,2,1e-06,4.99e-07
235642,6333727,44,77,2,1e-06,4.99e-07
235642,6334727,52,74,2,1e-06,4.99e-07
235642,6335727,51,79,2,1e-06,4.99e-07
235642,6336727,51,80,2,1e-06,4.99e-07
235642,6337727,49,75,1,1e-06,0.0
235642,6338727,54,78,1,1e-06,0.0
235642,6340727,43,72,1,1e-06,0.0
235642,6344727,57,53,1,1e-06,4.99e-07
235642,6356727,54,75,1,1e-06,0.0
235642,6359727,33,199,2,0.04936200054594808,0.02468099927297404
235642,6361727,80,90,1,1e-06,0.0
235642,6364727,62,274,2,1e-06,0.0
236642,6247727,25,90,4,1e-06,4.99e-07
236642,6252727,17,99,3,1e-06,4.99e-07
236642,6253727,11,121,6,1e-06,0.0
236642,6255727,9,118,5,1e-06,4.99e-07
236642,6256727,7,113,3,1e-06,4.99e-07
236642,6258727,11,155,2,1e-06,0.0
236642,6263727,19,113,1,1e-06,0.0
236642,6270727,14,77,1,1e-06,0.0
236642,6276727,9,71,1,1e-06,0.0
236642,6277727,9,62,1,1e-06,0.0
236642,6300727,12,99,2,1e-06,4.99e-07
236642,6301727,31,88,1,1e-06,0.0
236642,6302727,5,182,1,1e-06,0.0
236642,6311727,27,220,1,1e-06,0.0
236642,6312727,23,196,4,1e-06,4.99e-07
236642,6313727,20,172,5,1e-06,0.0
236642,6314727,49,134,2,1e-06,0.0
236642,6315727,20,125,9,1e-06,0.0
236642,6317727,50,176,1,1e-06,0.0
236642,6318727,26,180,8,1e-06,4.99e-07
236642,6322727,27,70,3,1e-06,4.99e-07
236642,6323727,37,106,4,1e-06,4.99e-07
