EASTING,NORTHING,DIP,DIP_DIR
242642,6323727,72,269
242642,6324727,65,270
242642,6328727,49,306
242642,6331727,34,283
242642,6332727,34,302
242642,6333727,39,318
242642,6335727,29,323
242642,6338727,27,354
242642,6339727,25,5
242642,6341727,24,18
242642,6343727,26,51
242642,6344727,30,267
242642,6348727,65,280
242642,6445727,60,345
242642,6446727,44,60
242642,6454727,65,350
243642,6305727,27,254
243642,6306727,40,257
243642,6308727,45,260
243642,6309727,74,255
243642,6310727,64,262
243642,6312727,17,181
243642,6314727,75,71
243642,6315727,83,72
243642,6316727,86,73
243642,6317727,9,158
243642,6318727,2,149
243642,6320727,55,245
243642,6321727,90,283
243642,6322727,90,60
243642,6324727,83,278
243642,6327727,47,275
243642,6328727,39,293
243642,6329727,48,308
243642,6331727,35,305
243642,6339727,28,319
243642,6341727,35,306
243642,6342727,31,337
243642,6343727,19,357
243642,6344727,55,258
243642,6345727,84,263
243642,6350727,49,265
243642,6357727,65,265
243642,6359727,75,250
243642,6361727,80,290
243642,6404727,9,100
243642,6406727,9,320
243642,6411727,9,85
243642,6413727,5,285
243642,6418727,29,115
243642,6424727,0,0
243642,6429727,44,285
243642,6446727,44,60
243642,6452727,35,95
243642,6462727,68,110
243642,6472727,29,345
244642,6308727,90,254
244642,6313727,60,347
244642,6315727,9,50
244642,6321727,71,276
244642,6324727,47,359
244642,6327727,43,84
244642,6328727,38,271
244642,6329727,42,299
244642,6330727,72,266
244642,6331727,58,324
244642,6332727,44,30
244642,6335727,29,328
244642,6336727,32,333
244642,6338727,28,329
244642,6339727,27,346
244642,6340727,24,324
244642,6341727,46,301
244642,6342727,49,317
244642,6343727,27,332
244642,6348727,5,110
244642,6350727,29,110
244642,6354727,34,70
244642,6359727,65,250
244642,6366727,49,250
244642,6369727,44,265
244642,6405727,19,65
244642,6412727,19,80
244642,6420727,60,115
244642,6435727,44,275
244642,6439727,29,275
244642,6445727,86,126
244642,6455727,19,30
244642,6473727,34,125
245642,6254727,25,242
245642,6307727,36,257
245642,6310727,80,258
