EASTING,NORTHING,DIP,DIP_DIR,count,kappa,beta
523168,6732892,75,80,1,1e-06,0.0
523168,6733892,70,94,2,1e-06,4.99e-07
523168,6786892,62,336,2,1e-06,4.99e-07
523168,6914892,52,130,1,1e-06,4.99e-07
523168,6928892,77,185,1,1e-06,0.0
523168,6933892,90,60,1,1e-06,4.99e-07
523168,6936892,68,12,4,1e-06,4.99e-07
524168,6747892,17,335,1,1e-06,0.0
524168,6783892,76,6,1,1e-06,0.0
524168,6787892,59,313,3,1e-06,4.99e-07
524168,6788892,72,340,1,1e-06,0.0
524168,6935892,75,326,4,1e-06,4.99e-07
525168,6777892,19,254,2,1e-06,4.99e-07
525168,6783892,28,354,1,1e-06,0.0
525168,6787892,51,311,3,1e-06,4.99e-07
525168,6789892,69,340,1,1e-06,0.0
525168,6910892,62,107,1,1e-06,0.0
526168,6746892,20,25,1,1e-06,4.99e-07
526168,6747892,25,337,1,1e-06,0.0
526168,6761892,72,219,1,1e-06,0.0
526168,6782892,33,305,4,1e-06,4.99e-07
526168,6783892,56,31,1,1e-06,4.99e-07
526168,6787892,78,352,2,1e-06,4.99e-07
526168,6789892,82,3,3,1e-06,4.99e-07
527168,6739892,39,210,1,1e-06,0.0
527168,6785892,80,221,1,1e-06,0.0
527168,6788892,33,333,7,1e-06,4.99e-07
528168,6783892,60,184,1,1e-06,0.0
528168,6785892,68,225,1,1e-06,0.0
529168,6738892,16,230,1,1e-06,0.0
529168,6740892,25,324,3,1e-06,4.99e-07
529168,6743892,0,0,1,inf,0.0
529168,6782892,83,8,1,1e-06,0.0
529168,6783892,52,204,1,1e-06,0.0
530168,6738892,7,328,1,1e-06,0.0
530168,6741892,17,11,2,1e-06,0.0
530168,6783892,85,132,1,1e-06,4.99e-07
531168,6785892,64,335,1,1e-06,0.0
532168,6741892,43,42,1,1e-06,4.99e-07
532168,6783892,54,125,1,1e-06,4.99e-07
533168,6739892,41,50,1,1e-06,4.99e-07
533168,6740892,52,54,1,1e-06,4.99e-07
533168,6783892,73,65,1,1e-06,4.99e-07
533168,6785892,72,358,1,1e-06,0.0
533168,6787892,70,20,1,1e-06,4.99e-07
533168,6790892,54,223,1,1e-06,0.0
535168,6783892,43,261,4,1e-06,4.99e-07
536168,6738892,41,40,1,1e-06,4.99e-07
537168,6788892,48,277,2,1e-06,4.99e-07
537168,6789892,48,262,1,1e-06,4.99e-07
540168,6785892,46,15,2,24.20882353437998,12.10441176618999
540168,6786892,58,305,1,1e-06,4.99e-07
541168,6784892,80,295,1,1e-06,4.99e-07
541168,6786892,61,263,4,1e-06,0.0
542168,6786892,80,322,1,1e-06,0.0
547168,6791892,73,20,1,1e-06,0.0
565168,6818892,54,129,7,1e-06,4.99e-07
574168,6899892,74,300,1,1e-06,4.99e-07
575168,6900892,56,305,1,1e-06,4.99e-07
577168,6899892,39,20,1,1e-06,4.99e-07
579168,6901892,75,0,1,1e-06,0.0
580168,6935892,85,95,1,1e-06,0.0
581168,6895892,90,70,1,1e-06,4.99e-07
581168,6901892,22,98,2,6.308840726052371,2.4389162797999986
581168,6902892,69,315,1,1e-06,0.0
581168,6903892,70,280,1,1e-06,4.99e-07
581168,6930892,12,207,2,1.8776328780450806,0.0
581168,6934892,90,295,1,1e-06,4.99e-07
582168,6934892,85,275,1,1e-06,4.99e-07
583168,6935892,69,130,1,1e-06,4.99e-07
584168,6936892,80,130,1,1e-06,4.99e-07
588168,6898892,60,270,1,inf,0.0
588168,6900892,49,275,1,1e-06,4.99e-07
588168,6903892,80,239,1,1e-06,4.99e-07
588168,6932892,60,111,1,1e-06,0.0
589168,6933892,85,100,1,1e-06,4.99e-07
589168,6936892,49,118,1,1e-06,4.99e-07
589168,6938892,65,155,1,1e-06,4.99e-07
591168,6936892,49,110,1,1e-06,0.0
592168,6894892,73,245,2,1e-06,0.0
601168,6950892,73,296,3,1e-06,0.0
601168,6951892,70,300,1,1e-06,4.99e-07
602168,6951892,74,302,2,1e-06,0.0
602168,6952892,72,309,2,1e-06,4.99e-07
603168,6936892,69,295,1,1e-06,4.99e-07
603168,6937892,84,297,2,1e-06,0.0
603168,6938892,78,300,1,1e-06,4.99e-07
603168,6952892,49,302,2,1e-06,0.0
604168,6804892,90,68,1,1e-06,4.99e-07
604168,6805892,69,72,1,1e-06,0.0
604168,6947892,80,303,1,1e-06,4.99e-07
605168,6946892,90,318,1,1e-06,0.0
605168,6947892,76,300,2,1e-06,0.0
606168,6947892,80,272,1,1e-06,4.99e-07
606168,6948892,80,278,1,1e-06,4.99e-07
606168,6950892,72,293,2,1e-06,0.0
607168,6807892,77,89,1,1e-06,0.0
607168,6950892,75,290,1,1e-06,4.99e-07
608168,6945892,80,117,1,1e-06,4.99e-07
608168,6947892,90,273,1,1e-06,4.99e-07
608168,6950892,80,290,1,1e-06,4.99e-07
609168,6946892,80,300,1,1e-06,4.99e-07
609168,6947892,82,295,2,1e-06,0.0
609168,6954892,72,298,4,1e-06,0.0
609168,6955892,80,300,1,1e-06,4.99e-07
609168,6957892,80,298,1,1e-06,4.99e-07
610168,6948892,10,286,2,1e-06,0.0
610168,6949892,49,112,3,3.687070873984061,1.8435354359920304
610168,6953892,69,305,1,1e-06,4.99e-07
610168,6955892,80,293,1,1e-06,4.99e-07
611168,6950892,74,114,2,1e-06,0.0
611168,6951892,65,115,2,1e-06,0.0
611168,6953892,75,115,1,1e-06,4.99e-07
611168,6955892,13,227,2,3.379457827259224,1.240837159774065
612168,6952892,79,120,2,1e-06,0.0
612168,6953892,80,115,1,1e-06,4.99e-07
612168,6954892,73,107,2,1e-06,0.0
612168,6955892,40,8,1,1e-06,4.99e-07
613168,6953892,70,110,1,1e-06,4.99e-07
613168,6954892,74,126,2,1e-06,0.0
613168,6956892,75,113,1,1e-06,4.99e-07
614168,6955892,6,264,2,34.0249762871725,16.484851278078896
614168,6956892,69,128,2,1e-06,0.0
615168,6956892,75,120,1,1e-06,4.99e-07
616168,6795892,47,92,1,1e-06,0.0
616168,6800892,85,280,1,1e-06,4.99e-07
617168,6790892,43,49,1,1e-06,4.99e-07
617168,6802892,80,280,1,1e-06,4.99e-07
617168,6803892,41,66,1,1e-06,0.0
618168,6789892,41,60,1,1e-06,4.99e-07
618168,6800892,67,290,1,1e-06,4.99e-07
619168,6795892,61,243,1,1e-06,4.99e-07
622168,6956892,69,318,1,1e-06,0.0
623168,6794892,19,239,1,1e-06,4.99e-07
623168,6957892,80,325,1,1e-06,0.0
624168,6801892,90,66,1,1e-06,4.99e-07
624168,6957892,75,60,1,1e-06,4.99e-07
625168,6956892,80,60,1,1e-06,4.99e-07
626168,6880892,65,70,1,1e-06,0.0
630168,6789892,55,172,1,1e-06,0.0
630168,6790892,70,102,1,1e-06,0.0
636168,6877892,75,197,2,1e-06,4.99e-07
638168,6881892,90,288,1,1e-06,4.99e-07
639168,6884892,33,289,2,1e-06,0.0
642168,6885892,69,190,1,1e-06,0.0
643168,6886892,80,261,1,1e-06,4.99e-07
647168,6841892,82,278,1,1e-06,4.99e-07
647168,6889892,67,274,1,1e-06,4.99e-07
647168,6916892,42,324,3,1e-06,4.99e-07
648168,6896892,35,271,1,1e-06,4.99e-07
